[0.000000] (-) TimerEvent: {}
[0.000288] (turtle) JobQueued: {'identifier': 'turtle', 'dependencies': OrderedDict()}
[0.104521] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/config/joint_controller.yaml\n'}
[0.104650] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/config/ros2_control.xacro\n'}
[0.104745] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/launch\n'}
[0.104835] (turtle) StdoutLine: {'line': b'-- Installing: /home/kitili/test2/install/turtle/share/turtle/launch/launch.py\n'}
[0.104976] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/launch/__pycache__\n'}
[0.105354] (turtle) StdoutLine: {'line': b'-- Installing: /home/kitili/test2/install/turtle/share/turtle/launch/__pycache__/launch.cpython-312.pyc\n'}
[0.105480] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/launch/Turtle.Launch.py\n'}
[0.105580] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/maps\n'}
[0.105698] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes\n'}
[0.105792] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision\n'}
[0.105881] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Front_left1.STL\n'}
[0.105963] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Back_left1.STL\n'}
[0.106044] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/base_link.STL\n'}
[0.106237] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Front_left2.STL\n'}
[0.106401] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Front_right1.STL\n'}
[0.106503] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Front_right2.STL\n'}
[0.106592] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Back_right2.STL\n'}
